,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,taxid,seqids
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,12.0,15.0,38.0,46.0,62.0,81.0,117.0,123.0,191.0,229.0,305.0,509.0,767.0,1183.0,1844.0,2705.0,3707.0,4759.0,5798.0,6123.0,5822.0,4948.0,3938.0,2652.0,1803.0,974.0,546.0,284.0,161.0,74.0,45.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734925,NZ_AP019723.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,13.0,34.0,75.0,72.0,147.0,240.0,329.0,431.0,604.0,716.0,932.0,1216.0,1409.0,1729.0,2026.0,2399.0,2781.0,3075.0,3407.0,3876.0,4375.0,4711.0,5123.0,5647.0,5807.0,6016.0,5987.0,5700.0,5544.0,4760.0,4183.0,3294.0,2606.0,1870.0,1327.0,888.0,560.0,345.0,195.0,112.0,58.0,27.0,15.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,NZ_AP019724.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,10.0,20.0,22.0,46.0,44.0,88.0,102.0,115.0,123.0,148.0,126.0,142.0,138.0,166.0,135.0,149.0,140.0,107.0,118.0,105.0,80.0,69.0,68.0,63.0,47.0,51.0,17.0,17.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,NZ_AP019725.1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,8.0,17.0,24.0,28.0,28.0,42.0,63.0,68.0,94.0,122.0,131.0,146.0,123.0,121.0,143.0,129.0,154.0,145.0,129.0,104.0,102.0,94.0,107.0,77.0,55.0,46.0,31.0,16.0,9.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,NZ_AP019726.1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,4.0,3.0,7.0,8.0,10.0,1.0,8.0,4.0,8.0,7.0,6.0,6.0,5.0,11.0,10.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,NZ_AP019727.1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,6.0,4.0,6.0,7.0,1.0,4.0,2.0,5.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,NZ_AP019728.1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,11.0,8.0,20.0,28.0,29.0,48.0,82.0,97.0,163.0,162.0,249.0,364.0,422.0,547.0,703.0,891.0,1029.0,1160.0,1357.0,1484.0,1577.0,1768.0,1904.0,2025.0,2348.0,2746.0,2847.0,2943.0,2802.0,2516.0,2032.0,1471.0,1055.0,643.0,331.0,172.0,95.0,38.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83684,NZ_AP019750.1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,28.0,40.0,83.0,85.0,113.0,130.0,144.0,153.0,171.0,190.0,255.0,277.0,317.0,431.0,557.0,647.0,759.0,962.0,1160.0,1268.0,1444.0,1546.0,1709.0,1943.0,2176.0,2402.0,2722.0,3043.0,3278.0,3227.0,3236.0,3119.0,2766.0,2345.0,2003.0,1531.0,1184.0,842.0,537.0,330.0,180.0,119.0,49.0,26.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064535,NZ_CP027570.1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,9.0,17.0,21.0,30.0,55.0,69.0,82.0,78.0,127.0,124.0,202.0,266.0,330.0,434.0,558.0,676.0,901.0,1113.0,1479.0,1928.0,2293.0,2658.0,3034.0,3512.0,3836.0,3929.0,3932.0,3556.0,3089.0,2576.0,2022.0,1531.0,1106.0,839.0,617.0,475.0,359.0,270.0,153.0,113.0,78.0,37.0,17.0,8.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411903,NZ_CP048433.1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,5.0,9.0,12.0,14.0,18.0,22.0,24.0,22.0,23.0,30.0,24.0,20.0,17.0,21.0,14.0,17.0,20.0,8.0,12.0,12.0,18.0,12.0,10.0,14.0,9.0,10.0,5.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411903,NZ_CP048434.1
